epoch,train_loss,val_dice,val_iou
1,0.5996315801143646,0.8908223765236991,0.8063498479979379
2,0.22595340192317961,0.9542696135384696,0.9128913964544024
3,0.1714523881673813,0.9625158565385001,0.9284072177750724
4,0.14719452172517777,0.9714239069393703,0.9446757010051182
5,0.1316127222776413,0.9569171411650521,0.9199632065636771
6,0.11593564301729202,0.9704093507358006,0.9427629028047834
7,0.10527541160583496,0.9758256503513881,0.952957204410008
8,0.09720949590206146,0.9748616984912327,0.9511352692331586
9,0.09267713099718095,0.9740847178867885,0.9497196844645909
10,0.08870926320552826,0.9770253215517316,0.9552791288920811
11,0.08320120096206665,0.9769512329782758,0.9551580548286438
12,0.07928961962461471,0.9760773863111224,0.9535383411816188
13,0.0773084369301796,0.9774742126464844,0.95619683606284
14,0.07252595514059067,0.9769063421658107,0.9551291636058262
15,0.07092468053102494,0.9764460154942104,0.9541722621236529
16,0.06881883174180985,0.9773863894598824,0.9559811098234994
17,0.06625479325652123,0.9775138667651585,0.9562027198927743
18,0.06463088542222976,0.9781835675239563,0.9575459616524833
19,0.06227254971861839,0.9783446703638349,0.9578591414860317
20,0.05921440064907074,0.9789237550326756,0.958931062902723
21,0.05710536390542984,0.9787288904190063,0.9585544552121844
22,0.05719855651259422,0.9786444732121059,0.9583803841045925
23,0.0577424792945385,0.9787821003368923,0.9586402518408639
24,0.055294547080993656,0.9792861257280622,0.9596122332981655
25,0.053785889744758605,0.9792261634554181,0.9594812393188477
